song_name,artists,rank
Uptown Funk!,Mark Ronson Featuring Bruno Mars,1
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2
Shape Of You,Ed Sheeran,3
Closer,The Chainsmokers Featuring Halsey,4
Girls Like You,Maroon 5 Featuring Cardi B,5
We Found Love,Rihanna Featuring Calvin Harris,6
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,7
Somebody That I Used To Know,Goyte Featuring Kimbra,8
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,9
Rolling In The Deep,Adele,10
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,11
Without Me,Halsey,12
Call Me Maybe,Carly Rae Jepsen,13
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,14
Perfect,Ed Sheeran,15
Sicko Mode,Travis Scott,16
All About That Bass,Meghan Trainor,17
Royals,Lorde,18
God's Plan,Drake,19
Moves Like Jagger,Maroon 5 Featuring Chistina Aguilera,20
Happy,Parrell Williams,21
Just The Way You Are,Bruno Mars,22
Rockstar,Post Malone Featuring 21 Savage,23
TiK ToK,Ke$ha,24
See You Again,Wiz Khalifa Featuring Charlie Puth,25
Dark Horse,Katy Perry Featuring Juicy J,26
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,27
One More Night,Maroon 5,28
We Are Young,fun. Featuring Janelle Monae,29
That's What I Like,Bruno Mars,30
The Hills,The Weeknd,31
All Of Me,John Legend,32
Happier,Mashmello & Bastille,33
Shake It Off,Taylor Swift,34
One Dance,Drake Featuring WizKid & Kyla,35
Radioactive,Imagine Dragons,36
Sexy And I Know It,LMFAO,37
Someone Like You,Adele,38
Counting Stars,OneRepublic,39
E.T.,Katy Perry Featuring Kanye West,40
Trap Queen,Fetty Wap,41
Love Yourself,Justin Bieber,42
Firework,Katy Perry,43
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",44
Locked Out Of Heaven,Bruno Mars,45
Love The Way You Lie,Eminem Featuring Rihanna,46
Thinking Out Loud,Ed Sheeran,47
Sorry,Justin Bieber,48
California Gurls,Katy Perry Featuring Snoop Dogg,49
Dynamite,Taio Cruz,50
Lucid Dreams,Juice WRLD,51
Hello,Adele,52
Work,Rihanna Featuring Drake,53
Grenade,Bruno Mars,54
"Hey, Soul Sister",Train,55
I Like It,"Cardi B, Bad Bunny & J Balvin",56
Wake Me Up!,Avicii,57
Don't Let Me Down,The Chainsmokers Featuring Daya,58
Havana,Camila Cabello Featuring Young Thug,59
OMG,Usher Featuring will.i.am,60
Bad Guy,Billie Eilish,61
Fancy,Iggy Azalea Featuring Charli XCX,62
Can't Feel My Face,The Weeknd,63
Wow.,Post Malone,64
Blank Space,Taylor Swift,65
Cheap Thrills,Sia Featuring Sean Paul,66
Some Nights,fun.,67
Need You Now,Lady Antebellum,68
7 Rings,Ariana Grande,69
Stay With Me,Sam Smith,70
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,71
Better Now,Post Malone,72
Roar,Katy Perry,73
Rude,MAGIC!,74
"Thank U, Next",Ariana Grande,75
Sugar,Maroon 5,76
Payphone,Maroon 5 Featuring Wiz Khalifa,77
Airplaces,B.o.B Featuring Hayley Williams,78
Pyscho,Post Malone Featuring Ty Dolla $ign,79
Bodak Yellow (Money Moves),Cardi B,80
Watch Me,Silento,81
Can't Stop The Feeling!,Justin Timberlake,82
Cheerleader,OMI,83
Bad Romance,Lady Gaga,84
Stronger (What Doesn't Kill You),Kelly Clarkson,85
What Do You Mean?,Justin Bieber,86
Nice For What,Drake,87
Sucker,Jonas Brothers,88
Meant To Be,Bebe Rexha & Florida Georgia Line,89
Timber,Pitbull Featuring Ke$ha,90
Take Me To Church,Hozier,91
Hotling Bling,Drake,92
Heathens,Twenty One Pilots,93
Super Bass,Nicki Minaj,94
F**k You! (Forget You),CeeLo Green,95
Panda,Desiigner,96
Break Your Heart,Taio Cruz Featuring Ludacris,97
In My Feelings,Drake,98
Wrecking Ball,Miley Cyrus,99
Ho Hey,The Lumineers,100
